"date","btc_price","btc_market_cap","btc_volume","gold_price","btc_return","btc_volatility","gold_log_return","rolling_vol"
"2020-02-03",9338.4166319394,169926610304.085,55025402183.6822,1574.75,-0.0180222939579142,0.0298203559380893,-0.00598301852814096,0.00658713940161121
"2020-02-04",9308.91270229121,169406963182.694,56824765307.8146,1558.35,-0.00315941457862141,0.0294204370906858,-0.0104689603173881,0.00696441120429233
"2020-02-05",9179.95928107711,167075369075.115,55377658455.6233,1553.3,-0.0138526834806777,0.0295252777197512,-0.0032458691907888,0.00701630608539149
"2020-02-06",9592.18387389791,174596806174.299,65675565620.9108,1563.3,0.0449048389212933,0.0300843229579738,0.00641727158941708,0.00706463433709541
"2020-02-07",9744.63657815939,177388314197.565,71141695218.0395,1572.65,0.0158934301370445,0.0300487886212317,0.00596312294918145,0.00626841529554263
"2020-02-10",10148.3797191318,184792100015.164,78110955304.5213,1573.2,0.0414323446271273,0.0304565921286458,0.000349667025194338,0.00626884305907279
"2020-02-11",9890.12122401997,180145850760.053,81406687324.3509,1570.5,-0.025448249105713,0.0306364454897811,-0.00171772157895331,0.00628858107187223
"2020-02-12",10226.9257692153,186262984851.993,38930644711.9042,1563.7,0.0340546427658884,0.0307422296825514,-0.00433923212923657,0.00636666511620388
"2020-02-13",10328.8975658364,188132988212.867,45456624047.8339,1575.05,0.00997091393075823,0.0306563869658137,0.00723220993812013,0.00633469760191919
"2020-02-14",10221.2603092016,186190344916.033,54151236617.5585,1581.4,-0.0104209820988852,0.0298182431376085,0.00402351284924193,0.00586951540534917
"2020-02-17",9943.67360257874,181221481668.741,42364906261.0548,1580.8,-0.0271577768519373,0.0296047149527983,-0.000379482643223409,0.00515143458442407
"2020-02-18",9723.6050264225,176547652266.397,48517591137.468,1589.85,-0.0221315164748739,0.0290967543658081,0.0057086241477702,0.00520383373837796
"2020-02-19",10133.8174170847,184918071499.101,54648014949.725,1604.2,0.0421872741177276,0.0285634056447082,0.00898551779145062,0.00542014212908213
"2020-02-20",9618.40924825041,175312937106.921,50502739123.7538,1619,-0.0508602185752191,0.0303043518648189,0.00918348474481101,0.00492650306394061
"2020-02-21",9608.16918128246,174871048291.166,53579139400.8085,1643.3,-0.00106463207206667,0.0297028726459304,0.0148977405096091,0.00550618071363216
"2020-02-24",9946.71612346752,181368043820.094,38743680759.3286,1671.65,0.0352353227547845,0.0294033458393092,0.0171047474012496,0.00610403585806094
"2020-02-25",9670.9608064677,175872097740.407,41928789500.123,1650.3,-0.0277232519332913,0.0299742434694434,-0.0128540730389718,0.00664913612518996
"2020-02-26",9345.34270173485,170478976467.624,39441760776.3185,1634.9,-0.033669674735429,0.026880907928595,-0.00937544916815517,0.00697578463662389
"2020-02-27",8801.6571294725,160731785487.815,45140119229.636,1652,-0.0581771679877958,0.0290639518127155,0.0104050346995564,0.00714513214309239
"2020-02-28",8781.17528220236,160149975301.42,43045469000.9768,1609.85,-0.00232704443820644,0.0289857351855355,-0.025845668144658,0.00877226465058815
"2020-03-02",8567.80224867923,155934421965.273,34310775733.3222,1599.65,-0.0242989151982416,0.029334698586817,-0.00635615163766366,0.0088761624052335
"2020-03-03",8905.87610426219,162521881368.876,59776629742.5713,1615.5,0.0394586436253329,0.0301718575557815,0.00985965096595123,0.00893593655476151
"2020-03-04",8756.71857674255,159816567727.143,68336042797.3885,1641.85,-0.0167482149732866,0.0302970484480824,0.0161791485652273,0.00933142491635352
"2020-03-05",8758.64699319192,159869936941.097,38832067216.8779,1659.6,0.00022022135717494,0.0302652439180123,0.0107529546289326,0.009468584739656
"2020-03-06",9038.87032323342,165070261612.788,38122635173.1504,1683.65,0.0319939061660227,0.0302506668465655,0.0143874462623394,0.009731037067958
"2020-03-09",8041.36553807183,147076617271.689,39132209137.6972,1672.5,-0.110357240395142,0.0364012014827472,-0.00664454271866861,0.00975880380200893
"2020-03-10",7921.33200691072,144664117909.408,45678665163.1102,1655.7,-0.0149270084282093,0.0358800777431238,-0.0100956328888182,0.00994997149031848
"2020-03-11",7906.73152851063,144410718987.889,40882213633.9465,1653.75,-0.00184318475571443,0.0344667171257474,-0.00117844368439982,0.00995696996221987
