"date","btc_price","btc_market_cap","btc_volume","gold_price"
2020-06-10,9767.00531665552,179709840753.797,22844271951.2062,1722.05
2020-06-11,9874.89868183224,181705166673.575,24398738299.6508,1738.25
2020-06-12,9325.99685620264,171615707160.275,31225155444.6198,1733.5
2020-06-15,9345.96090772206,172116372679.339,18836155988.9017,1710.45
2020-06-16,9431.71926220174,173598215783.882,29160908896.8968,1719.85
2020-06-17,9524.92661691022,175075304218.302,26391020757.0455,1724.35
2020-06-18,9463.36141431179,174231189757.19,23643218251.1375,1719.5
2020-06-19,9399.76721712922,173034439845.621,20601074385.5032,1734.75
2020-06-22,9298.36082912142,171192409474.14,18986237382.0537,1761.85
2020-06-23,9678.68320897584,178128652479.622,24768621256.8389,1768.9
2020-06-24,9624.6842918314,177187041226.598,17756804210.0553,1766.05
2020-06-25,9288.06177448694,171028279701.503,23183760291.7544,1756.55
2020-06-26,9258.66716100771,170495281892.459,23499175984.2167,1747.6
2020-06-29,9139.90327629782,168334049772.473,19665935216.7015,1771.6
2020-06-30,9185.16654065115,169175896894.165,19754459582.7472,1768.1
2020-07-01,9149.72199675802,168558715595.079,19741435780.4858,1771.05
2020-07-02,9230.6729985908,170031996602.767,20005031554.019,1777.45
2020-07-03,9094.3180721669,167604994105.349,19379463385.2967,1772.9
2020-07-06,9087.40731258216,167429736492.905,17324463886.378,1787.9
2020-07-07,9342.37649262668,172136257752.371,21987059041.6893,1789.55
2020-07-08,9253.63098024233,170510411872.014,18945747769.3174,1811.1
2020-07-09,9432.17251582794,173809293389.638,20708592426.0349,1812.1
2020-07-10,9235.71630206424,170198606143.628,19480413474.2362,1803.1
2020-07-13,9297.47963587266,171364106456.321,17173962879.6877,1807.5
2020-07-14,9240.76251972468,170370727819.239,18245667827.0054,1801.9
2020-07-15,9247.06069596381,170451532161.736,19147263017.2295,1804.6
2020-07-16,9203.3714351797,169758848797.973,16565948994.9062,1807.7
2020-07-17,9136.48337636398,168496782960.899,18760484380.2763,1807.35
2020-07-20,9202.61583950011,169692625141.804,16085385661.9844,1815.65
2020-07-21,9163.15965457692,168936986921.468,17080393205.3461,1842.55
2020-07-22,9384.37975190327,173036757675.672,20048075731.2511,1852.4
2020-07-23,9514.30498762697,175370017196.675,19702428931.3286,1878.3
2020-07-24,9589.81771944117,176821599773.568,26966148756.4081,1902.1
2020-07-27,9925.75139747635,183064851468,19713211084.5617,1936.65
2020-07-28,10962.2584812074,202191797991.408,34694788843.5901,1940.9
2020-07-29,10904.916526919,201144184191.066,27637575180.451,1950.9
2020-07-30,11093.6122404424,204969785090.676,23642111784.0485,1957.65
2020-07-31,11116.3071636853,205200775318.218,22265381996.1867,1964.9
2020-08-03,11066.3062405903,204126077224.646,27584591853.0697,1958.55
2020-08-04,11230.9077627493,207218525401.746,20583344056.8415,1977.9
2020-08-05,11181.9175080349,206583502227.556,20527193170.9636,2048.15
2020-08-06,11719.2635239515,216249264843.702,22359870185.2091,2067.15
2020-08-07,11768.12774224,217128467890.109,21793317050.9686,2031.15
2020-08-10,11682.8514691549,215621627427.591,17051550190.8147,2044.5
2020-08-11,11862.9380127026,218920276229.412,24145919191.3442,1939.65
2020-08-12,11398.6710608966,210825577055.422,24448699831.2647,1931.9
2020-08-13,11579.8679516021,213770877597.905,22803776234.9778,1944.25
2020-08-14,11817.1640388034,217185020504.78,24755770184.1385,1944.75
2020-08-17,11901.7764883025,219750735622.695,19209711614.4085,1972.85
2020-08-18,12272.4658081604,226536103501.863,25481896190.5557,2008.75
2020-08-19,11949.6109706282,220980135332.214,24825715158.7055,1981
2020-08-20,11733.2789708621,216660276172.505,23384200655.8889,1927.15
2020-08-21,11861.8365772797,219044968220.888,20353349054.5915,1924.35
2020-08-24,11647.9281209344,215347356765.461,18467219109.1841,1943.95
2020-08-25,11758.8281203689,217410678530.358,20061559392.1033,1911.15
2020-08-26,11350.753473213,209658632328.37,23423332918.9369,1932.95
2020-08-27,11465.0025640321,211778947737.224,20869928785.8008,1923.85
2020-08-28,11300.3983638109,208747591910.155,21595917446.044,1957.35
2020-08-31,11701.0040086579,216179629567.18,19909556666.6014,1957.35
2020-09-01,11672.3241049436,215921598551.33,21077276617.8664,1972.35
2020-09-02,11895.2253453456,221315690777.345,25232603061.5349,1947.05
2020-09-03,11418.2547569161,210746091569.714,26038738388.7989,1940.45
2020-09-04,10197.4598227689,188438095255.46,49411126240.5186,1926.3
2020-09-07,10260.0177277544,189621410257.035,28801019507.3335,1928.45
2020-09-08,10359.44521699,191501904758.687,26560146962.2327,1910.95
2020-09-09,10125.0149560697,186825391248.726,47780699209.0924,1947.2
2020-09-10,10230.1546993608,188757938083.843,21357083446.3125,1966.25
2020-09-11,10342.1593912057,191180566587.059,77545788530.6144,1947.4
2020-09-14,10328.8660659874,190922719938.231,21057424433.4801,1958.7
2020-09-15,10661.0962351445,197010021430.24,23526143436.4904,1949.35
2020-09-16,10787.5802080762,199044338127.626,23802088944.3969,1961.8
2020-09-17,10952.2499691071,202524001250.493,24459086808.7769,1936.25
2020-09-18,10937.9963969609,202358479464.185,23547167125.3424,1950.85
2020-09-21,10923.3266681814,202032519471.269,20161733906.9632,1909.35
2020-09-22,10439.5224887924,193677795064.085,23757059692.357,1906
2020-09-23,10527.5878467394,194731087415.29,19866578108.978,1873.4
2020-09-24,10223.7841063927,189120580778.463,19981974722.3513,1861.75
2020-09-25,10726.530083322,198514026300.179,21348447554.0925,1859.7
2020-09-28,10765.3005216609,199236216251.436,17639951627.9488,1864.3
2020-09-29,10672.028544259,197720212770.895,19869963340.4855,1883.95
2020-09-30,10837.516586513,200532996047.586,18308943800.639,1886.9
2020-10-01,10770.8813474664,199310441688.836,18558607662.6852,1902
2020-10-02,10627.9760639632,196617081790.519,20889752499.9589,1903.05
2020-10-05,10670.7008113352,197494664453.793,16029160487.5592,1909.6
2020-10-06,10784.9494030941,199530129891.088,17853484006.2693,1913.4
2020-10-07,10605.9577913062,196314284797.013,19419734685.0958,1884.5
2020-10-08,10668.0110107969,197575523784.584,17222472599.6063,1887.45
2020-10-09,10888.6665468358,201518932273.679,19767968267.4629,1923.25
2020-10-12,11377.8148767569,210799352797.138,16270141989.7327,1925.5
2020-10-13,11543.1837607715,213726225963.205,20957733313.8649,1891.3
2020-10-14,11426.1055442204,211576163357.665,19556025069.3974,1910.05
2020-10-15,11435.5724375797,211756280001.14,20441486195.0237,1891.9
2020-10-16,11495.5849957339,212878404236.874,20511481706.6636,1905.05
2020-10-19,11495.8999756899,212752326976.492,15569792414.4232,1905.6
2020-10-20,11752.1468639198,217391050812.659,18121468516.2719,1898.4
2020-10-21,11908.7089232465,220404884318.978,21431994055.8289,1924.15
2020-10-22,12806.4357267274,236717318526.157,29314287990.069,1900.95
2020-10-23,12951.0440600381,240257678153.835,25070864646.7649,1903.65
2020-10-26,13021.4108421241,241326618198.731,18998745579.318,1898.45
2020-10-27,13060.7922120841,242141178089.608,21507619985.6944,1905.7
2020-10-28,13655.1854158831,253004886697.361,23918511528.0691,1869.95
2020-10-29,13282.9993482924,245661872194.442,26825856788.1128,1870.3
